country,gini_index,corruption_perceptions_index,freedom_house_democracy_index,hdi,press_freedom_index,economist_democracy_index,populism_index,effective_coverage_of_health_services_index,trust_in_news_media_index,trust_in_government_index,trust_in_science_index
Afghanistan,40.0927396,19,1,1,2,1,4.09287413,39,40.57221497,69.32180632,10
Albania,33.2,36,2,3,3,2,4.940516124,70,33.32500705,54.7456061,10
Algeria,27.6,36,1,3,2,2,4.85095288,65,31.51662287,68.97456216,5
Argentina,42.9,42,3,4,3,3,8,61,39,31,21
Australia,34.4,77,3,4,4,4,5.783460156,89,44,42,33
Austria,30.8,76,3,4,4,4,7,86,39,51.49484344,22
Azerbaijan,26.6,30,1,3,1,1,4.36510994,48,40.5555405,80.20298357,18
Belarus,25.3,47,1,4,2,1,5.077233379,70,32.8784229,70.97132953,7
Belgium,27.2,76,3,4,5,3,5.658748286,87,49,49.78423042,42
Bolivia,41.6,31,2,3,2,2,1,52,38.19583905,61.80749182,5
Bosnia and Herzegovina,33,35,2,3,3,2,4.848364562,64,31.51983558,62.39147032,2
Brazil,53.4,38,3,3,3,3,4,65,48,28,13
Bulgaria,41.3,44,3,4,2,3,7,63,40,52.35606601,11
Burkina Faso,35.3,40,2,1,4,2,4.42502623,42,44.7294297,77.48906804,13
Burundi,38.6,19,1,1,1,1,4.272255232,50,39.38532315,60.34613824,16
Cameroon,46.6,25,1,2,2,1,4.216442941,42,43.82290694,59.68780079,13
Canada,33.3,77,3,4,4,4,7,90,52,53,28
Chile,44.4,67,3,4,3,4,6,74,45,45.41164412,15
China,38.5,42,1,3,1,1,4.659183163,70,42.63479392,86,19
Colombia,51.3,39,2,3,2,3,7,74,37.34025931,37,10
Congo,48.9,19,1,2,2,1,4.19032427,44,41.46407392,53.40270621,11
Costa Rica,48.2,57,3,4,5,4,5,79,44.08147615,29.30322617,22
Croatia,29.7,47,3,4,3,3,8,79,40,52.62034599,15
Cuba,35.38407251,47,1,3,1,1,5.068747112,73,39.70530685,52.60721626,19.59878942
Czech Republic,25,54,3,4,4,3,8,82,33,50.05865232,33
Denmark,28.2,88,3,4,5,4,5.710446391,84,57,59.95302767,31
Dominican Republic,41.9,28,2,3,3,3,5,52,40.55519752,55.06671096,14
DR Congo,42.1,18,1,1,2,1,4.183148656,45,40.22654153,60.2873482,13.02512901
Ecuador,45.7,39,2,3,3,3,6,64,37.7828366,45.21243605,8
Egypt,31.5,33,1,3,1,1,4.512158806,55,42.79514525,67.20450796,24
El Salvador,38.8,36,2,2,3,3,3,62,37.06017274,55.53725998,9
Estonia,30.3,75,3,4,5,3,5.648513223,82,42.38347153,56.70072497,20
Ethiopia,35,38,1,1,3,1,4.472363542,47,43.5665794,73.45014702,15
Fiji,36.7,35.90887417,2,3,3,2,4.414443197,45,44.48560022,70.79148916,16.38918467
Finland,27.3,85,3,4,5,4,5.751120939,91,59,53.11305118,35
France,32.4,69,3,4,4,4,6,91,24,32,21
Gabon,38,30,1,3,2,1,4.516435058,53,37.88681461,63.57892382,9
Gambia,35.9,37,2,1,3,2,4.396459577,48,51.1536635,64.58494474,34
Georgia,35.9,56,2,4,3,2,4.945099678,56,40.91857697,72.50167727,5
Germany,31.9,80,3,4,5,4,8,86,47,40,25
Ghana,43.5,43,3,2,4,3,4.577667018,49,48.47824577,58.5505551,21
Greece,32.9,50,3,4,3,3,5.403498885,80,27,49.21078341,10
Guatemala,48.3,25,2,2,2,2,7,52,38.53873054,48.20901319,8
Guinea,33.7,28,2,1,3,1,3.990167581,32,50.86704976,80.54834278,28
Honduras,48.2,24,2,2,2,2,4,54,39.88638365,46.07816545,12
Hungary,29.6,44,2,4,3,3,5.154762617,72,28,58.11899,12
Iceland,26.1,75,3,4,4,4,5.843734025,95,42.46734376,46.99664697,32
India,35.7,40,2,2,2,3,3,47,47.18189344,75,21
Indonesia,38.2,37,2,3,2,3,4.502599026,49,40.78783333,74,8
Iran,42,25,1,3,1,1,4.73555889,70,36.63328903,39.03664441,19
Iraq,29.5,21,1,2,1,1,4.440741279,58,36.47142029,64.32967494,19
Ireland,31.4,72,3,4,5,4,5.696447959,90,48,38,39
Israel,39,60,3,4,3,3,5.397177725,81,43.69389197,40.69873396,26
Italy,35.9,53,3,4,4,3,2,89,40,43,17
Ivory Coast,41.5,36,2,1,3,2,4.704480117,57,37.2820962,57.87531212,5
Japan,32.9,74,3,4,3,3,5.93876023,96,39,39,11
Jordan,33.7,49,1,3,2,1,5.057351897,70,39.16940899,58.71494275,16
Kazakhstan,27.8,38,1,4,2,1,4.693140388,59,39.29906305,71.00454997,18
Kenya,40.8,31,2,2,3,2,4.520296694,52,39.49135618,59.68710535,10
Kosovo,29,36,2,2.770748473,3,2.177404042,4.728291676,59.25496193,35.64674864,69.58618407,10
Kuwait,34.82391774,42,2,4,3,1,5.201317793,82,35.60425776,41.55497258,20
Kyrgyzstan,29.7,31,1,2,3,2,4.527647247,53,37.04946215,72.80514996,11
Latvia,35.1,57,3,4,4,3,8,70,37.34822697,57.97519686,8
Lebanon,31.8,25,2,3,3,2,4.849436973,75,33.0065652,45.11866973,20
Libya,38.61985773,17,1,3,1,1,4.548107556,66,35.55654601,43.74624371,20
Lithuania,35.7,60,3,4,4,3,5.231015204,70,42.49431598,56.61952918,17
Madagascar,42.6,25,2,1,3,2,4.20547288,40,42.21476511,66.09641269,10
Malawi,44.7,30,2,1,3,2,4.526732382,56,44.03807299,47.4038601,22
Malaysia,41.1,51,2,4,3,3,5.105318959,67,31,60,14
Mali,33,30,1,1,3,2,4.231427713,41,45.10555793,76.57398506,20
Mexico,45.4,31,2,3,2,3,2,61,50,34,11
Moldova,25.7,34,2,3,3,2,4.77951128,62,31.43738809,72.10381643,5
Mongolia,32.7,35,3,3,3,3,4.499236981,48,40.09243656,73.45413621,11
Montenegro,38.5,45,2,4,3,2,5.013651087,66,34.96835188,56.86702404,3
Morocco,39.5,40,2,2,2,2,4.726113479,58,41.21745875,58.71327896,14
Myanmar,30.7,28,1,2,2,1,4.270600685,47,45.99233527,71.54982363,29
Nepal,32.8,33,2,2,2,2,4.419657984,47,41.34071058,74.26815998,14
Netherlands,28.1,82,3,4,5,4,6,90,53,54,28
New Zealand,29.89383748,88,3,4,5,4,5.779481981,83,50.1481318,57.05884983,32
Nigeria,35.1,25,2,1,2,2,4.11320917,38,44.87389486,75.25476254,19
North Korea,39.51367193,18,1,2.193538127,1,1,4.340527279,53,36.87913764,56.88052881,12.44206362
North Macedonia,33,35,2,3,3,2,4.774512029,61,33.7017451,64.16221753,5
Oman,33.9794919,54,1,4,2,1,5.116792072,71,42.34220846,57.49502415,21.40724751
Pakistan,31.6,31,2,2,2,2,4.249420698,39,41.76958839,83.20788113,11
Papua-New-Guinea,41.9,27,2,2,4,3,4.190875685,38,44.30737798,67.35796873,12.97582368
Paraguay,45.7,28,2,3,3,3,6,63,35.4120382,42.00216849,8
Peru,41.5,38,2,3,3,3,8,76,31.28760384,39.69821001,5
Philippines,42.3,34,2,3,2,3,4.511406933,55,48.85235054,49.62045403,32
Poland,30.2,56,3,4,3,3,2,73,48,61.81127843,19
Portugal,33.5,61,3,4,5,4,5.296965201,84,58,43.28824168,34
Qatar,32.79876629,63,1,4,2,1,5.397020026,80,42.42576356,53.57876515,23.68949501
Romania,35.8,44,3,4,3,3,5,70,35,49.15377779,21
Russia,37.5,30,1,4,2,1,4,69,33.98096498,34,14
Rwanda,43.7,54,1,1,2,1,4.872239587,59,48.74164733,56.31622466,22
Saudi Arabia,33.43715785,53,1,4,1,1,4.928128153,64,46.92655062,62.57554501,28
Senegal,40.3,45,2,1,4,2,4.657463548,50,43.8111939,66.49464205,11
Serbia,36.2,38,2,4,3,3,4.840910186,63,36.1809038,57.63531704,9
Singapore,23.81430158,85,2,4,1,3,5.883539912,92,42,67,22
Slovakia,25,49,3,4,4,3,7,78,33,57.65824023,18
South Africa,63,44,3,3,4,3,4.869975877,60,49,21,13
South Korea,31.4,61,3,4,4,3,5.773572013,89,22,48,6
South Sudan,44.1,12,1,1,2,1.138312683,4.058521248,42,39.36879063,58.75428547,11.11078088
Spain,34.7,62,3,4,4,4,6,90,43,26,39
Sri Lanka,39.3,38,2,3,2,3,4.87103485,66,37.74935446,50.79073261,13
Sudan,34.2,16,1,1,1,1,4.279687842,52,36.39382638,63.45067532,14.52374795
Sweden,30,85,3,4,5,4,7,90,39,50.06772401,26
Switzerland,33.1,85,3,4,5,4,5.952210089,93,46,48.39827599,17
Syria,37.5,14,1,2,1,1,4.385552323,58,33.97805757,53.60226557,12.60016017
Taiwan,31.19352556,65,3,4,4,3,5.609388852,79,28,58.94601256,4
Tajikistan,34,25,1,2,1,1,4.184382303,48,51.23168631,61.9875187,42
Tanzania,40.5,38,2,1,2,2,4.556489093,55,49.09248527,54.45215205,31
Thailand,34.9,36,1,3,2,3,4.978040309,72,32.76452337,51.77765533,9
Timor,28.7,40,3,2,3,3,4.478864535,46,44.41644781,79.99160923,19.07512625
Tunisia,32.8,44,3,3,3,3,4.98731,68,37.81444546,57.72236702,15
Turkey,41.9,40,1,4,2,2,1,69,46,52,15
Tuvalu,39.1,34.23073713,3,1.822949105,3.342438813,2.811689364,4.308723381,40,45.81751286,71.08340381,15.50578112
Uganda,42.8,27,1,1,2,2,4.436088376,53,42.18760498,53.65690307,18
Ukraine,26.6,33,2,3,3,2,4.644011525,57,35.04467317,73.55309155,10
United Arab Emirates,26,71,1,4,2,1,5.122454717,63,49.5769809,82,27
UK,35.1,77,3,4,4,4,4,88,40,42,35
United States,41.4,67,3,4,4,3,3,82,32,40,25
Uruguay,39.7,71,3,4,4,4,6,69,47.52885933,54.94476165,20
Uzbekistan,35.3,26,1,3,2,1,4.029653725,42,58.5766569,61.63108653,54
Vanuatu,37.6,43,3,2,3.602275127,2.875334857,4.29179838,34,50.3980001,80.60910716,17.87534587
Venezuela,44.8,15,1,3,2,1,1,61,37.40708972,41.08555226,17
Vietnam,35.7,36,1,3,1,1,4.74759792,60,34.56736304,64.58377416,4
Yemen,36.7,15,1,1,1,1,4.191549744,49,39.12267787,61.55925779,18
Zimbabwe,50.3,24,1,2,2,1,4.436835031,54,41.18540394,43.65525182,14